epoch,lr,train_loss,train_accuracy,train_precision,train_recall,train_f1,train_auc,train_log_loss,train_kappa,val_loss,val_accuracy,val_precision,val_recall,val_f1,val_auc,val_log_loss,val_kappa
1,5e-05,0.5320949761525964,0.7212641772235856,0.7247126823039183,0.71448449509674,0.719562243502052,0.8043680783268718,0.5320949729881483,0.4425356380069393,0.43012805178083546,0.8090272605392522,0.9723906215762179,0.7933377033549848,0.8737857705434497,0.9228731166260205,0.4301280503563174,0.4976296205069527
2,4.9165182744082176e-05,0.3244769557954966,0.8494892883199575,0.8616069898920679,0.8330903790087464,0.8471087604642153,0.9339076382069933,0.3244769546489496,0.6989882002649035,0.5202517921112809,0.8428919012860618,0.9628798694676729,0.8439902270424885,0.8995236583042235,0.9182646118502593,0.5202517924611114,0.5465223834620709
3,4.671762239271876e-05,0.34964413109737646,0.8361743052331365,0.8547380234270885,0.8094320823646629,0.8314683406113537,0.9224949243989998,0.3496441295447155,0.672322605688608,0.2881114497875598,0.8637966135359253,0.9840022065921942,0.8503664859066802,0.912316593677077,0.9563685464349465,0.28811144896339497,0.6144851430272766
4,4.2824116139070415e-05,0.3046440321135062,0.8603004576507263,0.8807869962272135,0.8320010658140155,0.8556992378179327,0.9414179823754257,0.30464403118388705,0.7205292729048274,0.35123676662002534,0.8644421272158499,0.9933291201460571,0.8429771765687385,0.9119979369479724,0.9731519086984667,0.3512367663038596,0.6254692646952072
5,3.775e-05,0.20242045162795977,0.909945612522385,0.9202689395225644,0.8978597932679565,0.9089262656582765,0.9744281602735199,0.20242045121239954,0.8198954143816136,0.6533622863817723,0.8469139480609762,0.9851253718657034,0.8287944699362374,0.9002233081976763,0.9564132220921595,0.6533622851955703,0.5817450977083383
6,3.1841066605011764e-05,0.18379535662251975,0.918833322278968,0.9322818446768387,0.9030222517436067,0.9174188106284268,0.9787876941225881,0.18379535626060087,0.8376588751547756,0.2825028397438648,0.9211480212522966,0.9764189401066165,0.9277754603420535,0.9514758907290839,0.9687142982936934,0.28250284060149405,0.7419302516863238
7,2.5500000000000007e-05,0.15503120025905123,0.931385554155336,0.9444711538461539,0.9160338395949906,0.930035168402543,0.9848310455892759,0.15503120003148743,0.8627508182290498,0.5084681105562197,0.8846020159888773,0.990899830220713,0.8694952624992551,0.9262362724560401,0.9721784230222366,0.5084681094502904,0.6664047876531933
8,1.915893339498825e-05,0.23181957284235824,0.8958844597731644,0.9101744688201762,0.8774646949107381,0.8935203242381591,0.9663005567236432,0.23181957225606367,0.791732919718741,0.37947569173910894,0.8858930433487263,0.9915156451503427,0.8705083129730052,0.9270800279240973,0.9731950404501475,0.37947569146029586,0.6698842511849863
9,1.3250000000000009e-05,0.21240773261225535,0.9045400278570007,0.921420476010578,0.8855039936629481,0.9031052764453421,0.9715278313174329,0.21240773210071934,0.8091114052681214,0.2696479852177978,0.9195590645017131,0.9865845047820785,0.9159168106787439,0.9499381953028431,0.9759994117542461,0.2696479849060427,0.7467689880413682
10,8.17588386092959e-06,0.20248514970566023,0.9090833720236121,0.92632738033791,0.8895644702927764,0.907573790941119,0.9740724181505614,0.20248514916392313,0.8181903472530613,0.35451002921645103,0.9013357167684592,0.9888962326503635,0.891603599308742,0.937733070101219,0.9742162984676755,0.35451003030685435,0.7032816941222586
11,4.282377607281253e-06,0.19416368865731257,0.9126484048550773,0.9288518325516762,0.8925126013953333,0.9103197031085084,0.976097889166162,0.19416368832323747,0.8252449763357794,0.29992371102510446,0.9055563831371964,0.990311737955579,0.8954174363863894,0.9404769355949177,0.9763394613842429,0.2999237105626851,0.7147539218342309
12,1.8348172559178295e-06,0.1865161408581943,0.9177223585593951,0.9322786756415075,0.9015364282174129,0.9166498689780286,0.9780220892594836,0.1865161404777775,0.8354625335839652,0.31750499988557057,0.9070956849893242,0.9885961462839167,0.8988737262380073,0.9416024220481288,0.9746822030176148,0.3175050002263275,0.7169985224691158
