epoch,lr,train_loss,train_accuracy,train_precision,train_recall,train_f1,train_auc,train_log_loss,train_kappa,val_loss,val_accuracy,val_precision,val_recall,val_f1,val_auc,val_log_loss,val_kappa
1,0.0005,0.695861600727335,0.5053558400212244,0.5046514692317828,0.6344089583885503,0.5621394707099766,0.5089043243136426,0.6956510890307714,0.010457314001080631,0.6970582345496982,0.16674114901435028,0.0,0.0,0.0,0.5,0.6970581463271872,0.0
2,0.0004849533088860842,0.6931894697758424,0.4982423559063474,0.49684183931278425,0.39186316838259716,0.43815217794942257,0.4991123150474882,0.6931894682193517,-0.0038264658335553925,0.6927871118295548,0.8332588509856498,0.8332588509856498,1.0,0.9090465872156013,0.5,0.6927870871049656,0.0
3,0.000441628088558185,0.693199991879416,0.49860714996352057,0.49316905005107253,0.2572941646682654,0.338163193836456,0.49427039401367556,0.6931999904948793,-0.004867460074192254,0.6969060479330859,0.16674114901435028,0.0,0.0,0.0,0.5,0.6969060695015568,0.0
4,0.00037525000000000004,0.6931733208625507,0.49694899515818797,0.48826255980861244,0.2175259792166267,0.30096774193548387,0.497668672617051,0.6931733163316985,-0.0085212484557744,0.6939834674590097,0.16674114901435028,0.0,0.0,0.0,0.5,0.6939834668821719,0.0
5,0.0002938252203278992,0.6931771109225445,0.49976785832725346,0.5014060742407199,0.7650339956432768,0.6057810417374487,0.4966054926264044,0.6931771097940302,-0.003017602774735728,0.6927797721682325,0.8332588509856498,0.8332588509856498,1.0,0.9090465872156013,0.5,0.6927797533893333,0.0
6,0.0002071747796721009,0.6931786021021148,0.49767858327253434,0.4987018504531722,0.7000066260270342,0.5824512074098578,0.4944137207519987,0.6931785979547294,-0.005047853063477659,0.6944053246080062,0.16674114901435028,0.0,0.0,0.0,0.5,0.694405222933713,0.0
7,0.00012575000000000008,0.6931608738970075,0.49850766067520064,0.49707270185249913,0.377847891066091,0.42933695611155137,0.4981663916413599,0.6931608696236088,-0.0033374596894313324,0.6950561815739696,0.16674114901435028,0.0,0.0,0.0,0.5,0.6950562060313601,0.0
8,5.937191144181502e-05,0.69315941596115,0.49529084035285537,0.4940963183339531,0.3521402067320435,0.4112116991643454,0.49349211702505164,0.6931594071050766,-0.009130584074436898,0.6935368104625987,0.16674114901435028,0.0,0.0,0.0,0.5,0.6935368104239206,0.0
9,1.6046691113915878e-05,0.693148915992378,0.5,0.4981267029972752,0.19428761208900697,0.27954317389018973,0.49693383790969414,0.6931489054440558,-0.0008916690211071554,0.6937812938638805,0.16674114901435028,0.0,0.0,0.0,0.5,0.6937812672387168,0.0
